"GeneID"	"Cluster"
"1"	"TBX2"	"cluster2"
"2"	"CLEC11A"	"cluster2"
"3"	"TNFRSF4"	"cluster2"
"4"	"MTFP1"	"cluster2"
"5"	"BCL7C"	"cluster2"
"6"	"UBALD2"	"cluster2"
"7"	"DUSP15"	"cluster2"
"8"	"LMNA"	"cluster2"
"9"	"ARL4A"	"cluster2"
"10"	"TENM1"	"cluster2"
"11"	"SALL4"	"cluster2"
"12"	"SELENOV"	"cluster2"
"13"	"STK32B"	"cluster2"
"14"	"CCER2"	"cluster2"
"15"	"ISL2"	"cluster2"
"16"	"OTP"	"cluster2"
"17"	"EN1"	"cluster2"
"18"	"HOXD13"	"cluster2"
"19"	"GJD3"	"cluster2"
"20"	"HAPLN4"	"cluster2"
"21"	"FOXN4"	"cluster2"
"22"	"KIF22"	"cluster2"
"23"	"REXO5"	"cluster2"
"24"	"IGSF9"	"cluster2"
"25"	"DIAPH3"	"cluster2"
"26"	"FANCD2OS"	"cluster2"
"27"	"CYP3A5"	"cluster2"
"28"	"ZNF648"	"cluster2"
"29"	"PAICS"	"cluster2"
"30"	"PPAT"	"cluster2"
"31"	"TMEM116"	"cluster2"
"32"	"LSM5"	"cluster2"
"33"	"NUP37"	"cluster2"
"34"	"ALG8"	"cluster2"
"35"	"TIPIN"	"cluster2"
"36"	"F2R"	"cluster2"
"37"	"PTK7"	"cluster2"
"38"	"CDH11"	"cluster2"
"39"	"RIPK1"	"cluster2"
"40"	"NID1"	"cluster2"
"41"	"CALD1"	"cluster2"
"42"	"TPM4"	"cluster2"
"43"	"ERH"	"cluster2"
"44"	"ZNF410"	"cluster2"
"45"	"CENPQ"	"cluster2"
"46"	"PPIL1"	"cluster2"
"47"	"CEP128"	"cluster2"
"48"	"CEP57L1"	"cluster2"
"49"	"MYBL1"	"cluster2"
"50"	"CEP152"	"cluster2"
"51"	"MMS22L"	"cluster2"
"52"	"SPIN4"	"cluster2"
"53"	"C4orf46"	"cluster2"
"54"	"SPDL1"	"cluster2"
"55"	"LIN9"	"cluster2"
"56"	"PRIM1"	"cluster2"
"57"	"DHFR"	"cluster2"
"58"	"SMC2"	"cluster2"
"59"	"DEK"	"cluster2"
"60"	"MIS18A"	"cluster2"
"61"	"MCM3"	"cluster2"
"62"	"PSMC3IP"	"cluster2"
"63"	"FIGNL1"	"cluster2"
"64"	"RRM1"	"cluster2"
"65"	"BRCA1"	"cluster2"
"66"	"NUP205"	"cluster2"
"67"	"RBL1"	"cluster2"
"68"	"NCAPG2"	"cluster2"
"69"	"WDHD1"	"cluster2"
"70"	"HAUS5"	"cluster2"
"71"	"LIG1"	"cluster2"
"72"	"POLD1"	"cluster2"
"73"	"MRGBP"	"cluster2"
"74"	"NUP85"	"cluster2"
"75"	"PROSER3"	"cluster2"
"76"	"TRAF7"	"cluster2"
"77"	"STK38"	"cluster2"
"78"	"PLEKHG2"	"cluster2"
"79"	"RCC1"	"cluster2"
"80"	"PKN3"	"cluster2"
"81"	"ARHGEF39"	"cluster2"
"82"	"MXD3"	"cluster2"
"83"	"CDCA3"	"cluster2"
"84"	"EME1"	"cluster2"
"85"	"RECQL4"	"cluster2"
"86"	"TEDC2"	"cluster2"
"87"	"CHAF1A"	"cluster2"
"88"	"CDCA5"	"cluster2"
"89"	"E2F1"	"cluster2"
"90"	"CDT1"	"cluster2"
"91"	"PKMYT1"	"cluster2"
"92"	"TRAIP"	"cluster2"
"93"	"CDC25A"	"cluster2"
"94"	"SPAG5"	"cluster2"
"95"	"FANCA"	"cluster2"
"96"	"WDR62"	"cluster2"
"97"	"TICRR"	"cluster2"
"98"	"ATAD5"	"cluster2"
"99"	"POLE"	"cluster2"
"100"	"HELLS"	"cluster2"
"101"	"KNTC1"	"cluster2"
"102"	"BRIP1"	"cluster2"
"103"	"POLQ"	"cluster2"
"104"	"FANCD2"	"cluster2"
"105"	"KIF15"	"cluster2"
"106"	"FANCI"	"cluster2"
"107"	"LMNB1"	"cluster2"
"108"	"CENPI"	"cluster2"
"109"	"ERCC6L"	"cluster2"
"110"	"PLK4"	"cluster2"
"111"	"CENPE"	"cluster2"
"112"	"CENPF"	"cluster2"
"113"	"ASPM"	"cluster2"
"114"	"KIF14"	"cluster2"
"115"	"BUB1B"	"cluster2"
"116"	"KNL1"	"cluster2"
"117"	"ESPL1"	"cluster2"
"118"	"IQGAP3"	"cluster2"
"119"	"ARHGAP11A"	"cluster2"
"120"	"PRC1"	"cluster2"
"121"	"CDC7"	"cluster2"
"122"	"FBXO5"	"cluster2"
"123"	"KIF18B"	"cluster2"
"124"	"ZWINT"	"cluster2"
"125"	"KIF11"	"cluster2"
"126"	"MKI67"	"cluster2"
"127"	"CEP135"	"cluster2"
"128"	"DSCC1"	"cluster2"
"129"	"MTBP"	"cluster2"
"130"	"CENPP"	"cluster2"
"131"	"RAD54B"	"cluster2"
"132"	"FAM72C"	"cluster2"
"133"	"FAM72D"	"cluster2"
"134"	"FAM72A"	"cluster2"
"135"	"FAM72B"	"cluster2"
"136"	"POLE2"	"cluster2"
"137"	"NRM"	"cluster2"
"138"	"CDCA4"	"cluster2"
"139"	"PCNA"	"cluster2"
"140"	"CDK2"	"cluster2"
"141"	"LRR1"	"cluster2"
"142"	"CENPW"	"cluster2"
"143"	"CHEK2"	"cluster2"
"144"	"CHEK1"	"cluster2"
"145"	"EZH2"	"cluster2"
"146"	"CENPH"	"cluster2"
"147"	"MYBL2"	"cluster2"
"148"	"RAD51"	"cluster2"
"149"	"ORC1"	"cluster2"
"150"	"RAD54L"	"cluster2"
"151"	"E2F2"	"cluster2"
"152"	"DTL"	"cluster2"
"153"	"MCM10"	"cluster2"
"154"	"CENPM"	"cluster2"
"155"	"PLK1"	"cluster2"
"156"	"RAD51AP1"	"cluster2"
"157"	"GINS1"	"cluster2"
"158"	"AURKA"	"cluster2"
"159"	"TRIP13"	"cluster2"
"160"	"CCNA2"	"cluster2"
"161"	"PIMREG"	"cluster2"
"162"	"AURKB"	"cluster2"
"163"	"BIRC5"	"cluster2"
"164"	"UBE2C"	"cluster2"
"165"	"TROAP"	"cluster2"
"166"	"HJURP"	"cluster2"
"167"	"KIF20A"	"cluster2"
"168"	"FOXM1"	"cluster2"
"169"	"KIFC1"	"cluster2"
"170"	"TOP2A"	"cluster2"
"171"	"GTSE1"	"cluster2"
"172"	"HASPIN"	"cluster2"
"173"	"CDK1"	"cluster2"
"174"	"PBK"	"cluster2"
"175"	"NCAPG"	"cluster2"
"176"	"NUSAP1"	"cluster2"
"177"	"BUB1"	"cluster2"
"178"	"CKAP2L"	"cluster2"
"179"	"TPX2"	"cluster2"
"180"	"CENPU"	"cluster2"
"181"	"PCLAF"	"cluster2"
"182"	"CDC6"	"cluster2"
"183"	"RRM2"	"cluster2"
"184"	"ASF1B"	"cluster2"
"185"	"SKA1"	"cluster2"
"186"	"TK1"	"cluster2"
"187"	"CDC45"	"cluster2"
"188"	"SPC24"	"cluster2"
"189"	"TACC3"	"cluster2"
"190"	"TYMS"	"cluster2"
"191"	"CENPK"	"cluster2"
"192"	"SHCBP1"	"cluster2"
"193"	"CCNB1"	"cluster2"
"194"	"NEK2"	"cluster2"
"195"	"CDC25C"	"cluster2"
"196"	"CENPA"	"cluster2"
"197"	"GAS2L3"	"cluster2"
"198"	"KIF18A"	"cluster2"
"199"	"E2F8"	"cluster2"
"200"	"HMMR"	"cluster2"
"201"	"CEP55"	"cluster2"
"202"	"KIF4A"	"cluster2"
"203"	"MTFR2"	"cluster2"
"204"	"DDIAS"	"cluster2"
"205"	"OIP5"	"cluster2"
"206"	"NEIL3"	"cluster2"
"207"	"EXO1"	"cluster2"
"208"	"NCAPH"	"cluster2"
"209"	"SKA3"	"cluster2"
"210"	"ESCO2"	"cluster2"
"211"	"SGO1"	"cluster2"
"212"	"TTK"	"cluster2"
"213"	"NUF2"	"cluster2"
"214"	"MELK"	"cluster2"
"215"	"CDCA2"	"cluster2"
"216"	"DLGAP5"	"cluster2"
"217"	"NDC80"	"cluster2"
"218"	"MCM6"	"cluster2"
"219"	"RMI2"	"cluster2"
"220"	"WDR76"	"cluster2"
"221"	"ZNF367"	"cluster2"
"222"	"MCM2"	"cluster2"
"223"	"TCF19"	"cluster2"
"224"	"HMGB2"	"cluster2"
"225"	"PRIM2"	"cluster2"
"226"	"BORA"	"cluster2"
"227"	"CKAP2"	"cluster2"
"228"	"RFC3"	"cluster2"
"229"	"RAD18"	"cluster2"
"230"	"PRR11"	"cluster2"
"231"	"CLSPN"	"cluster2"
"232"	"STIL"	"cluster2"
"233"	"SMC4"	"cluster2"
"234"	"ECT2"	"cluster2"
"235"	"SGO2"	"cluster2"
"236"	"CENPL"	"cluster2"
"237"	"DEPDC1B"	"cluster2"
"238"	"DSN1"	"cluster2"
"239"	"ZWILCH"	"cluster2"
"240"	"TBC1D31"	"cluster2"
"241"	"VRK1"	"cluster2"
"242"	"KNSTRN"	"cluster2"
"243"	"POLA2"	"cluster2"
"244"	"PRL"	"cluster2"
"245"	"TMEM82"	"cluster2"
"246"	"NPHS2"	"cluster2"
"247"	"PRSS12"	"cluster2"
"248"	"TFAP2B"	"cluster2"
"249"	"TEKT5"	"cluster2"
"250"	"PATL2"	"cluster2"
"251"	"RUFY4"	"cluster2"
"252"	"SPATA32"	"cluster2"
"253"	"KCP"	"cluster2"
"254"	"PRPH"	"cluster2"
"255"	"NANOG"	"cluster2"
"256"	"AMN"	"cluster2"
"257"	"GPR35"	"cluster2"
"258"	"SLC19A3"	"cluster2"
"259"	"ZIC1"	"cluster2"
"260"	"ZIC4"	"cluster2"
"261"	"PFKFB1"	"cluster2"
"262"	"DZANK1"	"cluster2"
"263"	"KLHL41"	"cluster2"
"264"	"NINL"	"cluster2"
"265"	"KIAA1614"	"cluster2"
"266"	"PASK"	"cluster2"
"267"	"RADIL"	"cluster2"
"268"	"U2AF1"	"cluster2"
"269"	"HAS3"	"cluster2"
"270"	"ADAM8"	"cluster2"
"271"	"ATP6V1C2"	"cluster2"
"272"	"HEATR9"	"cluster2"
"273"	"EFCAB13"	"cluster2"
"274"	"SLC23A1"	"cluster2"
"275"	"FAM186B"	"cluster2"
"276"	"ASB16"	"cluster2"
"277"	"TPCN2"	"cluster2"
"278"	"PROZ"	"cluster2"
"279"	"ITGB1BP2"	"cluster2"
"280"	"DDX11"	"cluster2"
"281"	"DNA2"	"cluster2"
"282"	"TIA1"	"cluster2"
"283"	"TMC4"	"cluster2"
"284"	"JSRP1"	"cluster2"
"285"	"SLC23A3"	"cluster2"
"286"	"EPGN"	"cluster2"
"287"	"PPEF2"	"cluster2"
"288"	"POLN"	"cluster2"
"289"	"TMPRSS6"	"cluster2"
"290"	"SSUH2"	"cluster2"
"291"	"MSH5"	"cluster2"
"292"	"MSH5.SAPCD1"	"cluster2"
"293"	"MYO19"	"cluster2"
"294"	"PABPC1L"	"cluster2"
