"GeneID"	"Cluster"
"1"	"TEKT5"	"cluster1"
"2"	"AMN"	"cluster1"
"3"	"ITGB1BP2"	"cluster1"
"4"	"ADAM8"	"cluster1"
"5"	"GNB3"	"cluster1"
"6"	"ASIC3"	"cluster1"
"7"	"DNASE1L2"	"cluster1"
"8"	"SLC25A29"	"cluster1"
"9"	"LAT"	"cluster1"
"10"	"ZNF692"	"cluster1"
"11"	"HDAC10"	"cluster1"
"12"	"PIDD1"	"cluster1"
"13"	"FAM193B"	"cluster1"
"14"	"RTEL1.TNFRSF6B"	"cluster1"
"15"	"MAMDC4"	"cluster1"
"16"	"WSB1"	"cluster1"
"17"	"TCAP"	"cluster1"
"18"	"SNORD104"	"cluster1"
"19"	"MEF2B"	"cluster1"
"20"	"GDPD3"	"cluster1"
"21"	"TMEM262"	"cluster1"
"22"	"GPS2"	"cluster1"
"23"	"MYH3"	"cluster1"
"24"	"CUZD1"	"cluster1"
"25"	"TERB1"	"cluster1"
"26"	"GPT"	"cluster1"
"27"	"ACBD4"	"cluster1"
"28"	"PROCA1"	"cluster1"
"29"	"SLC28A2"	"cluster1"
"30"	"ATP6AP1L"	"cluster1"
"31"	"TBX6"	"cluster1"
"32"	"ZCWPW1"	"cluster1"
"33"	"NANOG"	"cluster1"
"34"	"ORM2"	"cluster1"
"35"	"SLC25A2"	"cluster1"
"36"	"SPEG"	"cluster1"
"37"	"FAM166A"	"cluster1"
"38"	"INHA"	"cluster1"
"39"	"U2AF1"	"cluster1"
"40"	"HEATR9"	"cluster1"
"41"	"TRPV1"	"cluster1"
"42"	"AP1G2"	"cluster1"
"43"	"SLC34A3"	"cluster1"
"44"	"SLC23A1"	"cluster1"
"45"	"C2orf92"	"cluster1"
"46"	"ZMAT1"	"cluster1"
"47"	"ASCL3"	"cluster1"
"48"	"ADA"	"cluster1"
"49"	"PFKFB1"	"cluster1"
"50"	"ZKSCAN7"	"cluster1"
"51"	"IL20RB"	"cluster1"
"52"	"CCDC116"	"cluster1"
"53"	"DDTL"	"cluster1"
"54"	"ATP6V1G2.DDX39B"	"cluster1"
"55"	"ADAMTS6"	"cluster1"
"56"	"KCNT2"	"cluster1"
"57"	"GRID2IP"	"cluster1"
"58"	"TECTA"	"cluster1"
"59"	"CFTR"	"cluster1"
"60"	"GLYCTK"	"cluster1"
"61"	"ANKMY1"	"cluster1"
"62"	"NRG2"	"cluster1"
"63"	"C9orf50"	"cluster1"
"64"	"PRPH"	"cluster1"
"65"	"TMEM253"	"cluster1"
"66"	"RUFY4"	"cluster1"
"67"	"BLK"	"cluster1"
"68"	"TSPAN32"	"cluster1"
"69"	"CXCL13"	"cluster1"
"70"	"LEMD1"	"cluster1"
"71"	"P2RX3"	"cluster1"
"72"	"XKR5"	"cluster1"
"73"	"BARHL1"	"cluster1"
"74"	"LRRC26"	"cluster1"
"75"	"PRRT4"	"cluster1"
"76"	"GAL3ST3"	"cluster1"
"77"	"KCNH2"	"cluster1"
"78"	"TLL1"	"cluster1"
"79"	"RASGEF1B"	"cluster1"
"80"	"SYNPO2L"	"cluster1"
"81"	"CDH15"	"cluster1"
"82"	"NDST4"	"cluster1"
"83"	"ADAMTS20"	"cluster1"
"84"	"ZNF804A"	"cluster1"
"85"	"SSTR5"	"cluster1"
"86"	"VIPR2"	"cluster1"
"87"	"RPL36AL"	"cluster1"
"88"	"TPT1"	"cluster1"
"89"	"RPS7"	"cluster1"
