Remove	File_name	Sample_name	Run	IDH	PDGFRA	P53	ATRX	Condition	Condition2
Yes	MSK_S01_IGO_09188_1_S1	IR132H_AP_N6_R1	Run1	R132H		gRNA	shRNA	C1B	C1
Yes	MSK_S02_IGO_09188_2_S2	IR132H_AP_N6_R4	Run1	R132H		gRNA	shRNA	C1B	C1
Yes	MSK_S03_IGO_09188_3_S3	IR132H_AP_N6_R5	Run1	R132H		gRNA	shRNA	C1B	C1
Yes	MSK_S04_IGO_09188_4_S4	IR132H_AP_N6_R6	Run1	R132H		gRNA	shRNA	C1B	C1
Yes	MSK_S05_IGO_09188_5_S5	IR132H_AP_N6_R9	Run1	R132H		gRNA	shRNA	C1B	C1
Yes	MSK_S06_IGO_09188_6_S6	IWT_AP_R1	Run1	WT		gRNA	shRNA	C2	C2
Yes	MSK_S07_IGO_09188_7_S7	IWT_AP_R3	Run1	WT		gRNA	shRNA	C2	C2
Yes	MSK_S08_IGO_09188_8_S8	IWT_AP_R5	Run1	WT		gRNA	shRNA	C2	C2
	MSK_S09_IGO_09188_9_S9	NGIAP	Run1	R132H				C7	C7
	MSK_S10_IGO_09188_10_S10	IAP_PDGFRA?	Run1	R132H		gRNA		C6	C6
	MSK_S11_IGO_09188_11_S11	IAP_#6_1a.P2_D272T	Run1	R132H		gRNA		C6	C6
	MSK_S12_IGO_09188_12_S12	IAP_cellline	Run1	WT		gRNA		C6	C6
Yes	MSK_S13_IGO_09188_13_S13	IAP_#6_Trail	Run1	R132H				C7	C7
	MSK_S14_IGO_09188_14_S14	IR132H_AP_D_R1	Run1	R132H	WT	gRNA		C3	C3
	MSK_S15_IGO_09188_15_S15	IR132H_AP_D_R7.1	Run1	R132H	WT	gRNA		C3	C3
	MSK_S16_IGO_09188_16_S16	IR132H_AP_D_R5	Run1	R132H	WT	gRNA		C3	C3
	MSK_S17_IGO_09188_17_S17	IR132H_AP_D_R13	Run1	R132H	WT	gRNA		C3	C3
	MSK_S18_IGO_09188_18_S18	IR132H_AP_D_R7.2	Run1	R132H	WT	gRNA		C3	C3
	MSK_S19_IGO_09188_19_S19	IR132H_AP_D_R6	Run1	R132H	WT	gRNA		C3	C3
Yes	CSHL_S15_S15	IR132H_AP_N5_R1	CSHL	R132H		gRNA	shRNA	C1A	C1
	CSHL_S16_S16	IR132H_AP_N5_R3	CSHL	R132H		gRNA	shRNA	C1A	C1
	CSHL_S17_S17	IR132H_AP_N5_R7	CSHL	R132H		gRNA	shRNA	C1A	C1
	CSHL_S18_S18	IR132H_AP_N5_R8	CSHL	R132H		gRNA	shRNA	C1A	C1
	CSHL_S19_S19	IR132H_AP_N5_R11	CSHL	R132H		gRNA	shRNA	C1A	C1
	CSHL_S20_S20	IR132H_AP_N5_R14	CSHL	R132H		gRNA	shRNA	C1A	C1
	CSHL_S21_S21	EC_N1_R1	CSHL			WT	shRNA	C4	C4
	CSHL_S22_S22	EC_N1_R2	CSHL			WT	shRNA	C4	C4
	CSHL_S23_S23	EC_N1_R4	CSHL			WT	shRNA	C4	C4
	CSHL_S24_S24	EC_N1_R5	CSHL			WT	shRNA	C4	C4
	CSHL_S25_S25	IR132H_APWT_D_N1_R1	CSHL	R132H	WT	WT		C5	C5
	CSHL_S26_S26	IR132H_APWT_D_N1_R2	CSHL	R132H	WT	WT		C5	C5
	CSHL_S27_S27	IR132H_APWT_D_N1_R4	CSHL	R132H	WT	WT		C5	C5
	Adi_6_IGO_10499_6_S6	Adi_6_IR132H_AP_N6_R2	Run2	R132H		gRNA	shRNA	C1B	C1
	Adi_7_IGO_10499_7_S7	Adi_7_IR132H_AP_N6_R3	Run2	R132H		gRNA	shRNA	C1A	C1
	Adi_13_IGO_10499_13_S13	Adi_13_IR132H_AP_N6_R1	Run2	R132H		gRNA	shRNA	C1B	C1
	Adi_21_IGO_10499_21_S21	Adi_21_IR132H_AP_N6_R5	Run2	R132H		gRNA	shRNA	C1B	C1
	Adi_24_IGO_10499_24_S24	Adi_24_IR132H_AP_N6_R8	Run2	R132H		gRNA	shRNA	C1A	C1
	Adi_25_IGO_10499_25_S25	Adi_25_IR132H_AP_N6_R4	Run2	R132H		gRNA	shRNA	C1A	C1
	Adi_26_IGO_10499_26_S26	Adi_26_IR132H_AP_N6_R3	Run2	R132H		gRNA	shRNA	C1A	C1
	Adi_27_IGO_10499_27_S27	Adi_27_IR132H_AP_N6_R4	Run2	R132H		gRNA	shRNA	C1B	C1
Yes	Adi_9_IGO_10499_9_S9	Adi_9_IR132H_AP_N6_R3	Run2	R132H		gRNA	shRNA	C1A	C1
Yes	Adi_10_IGO_10499_10_S10	Adi_10_IR132H_AP_N6_R5	Run2	R132H		gRNA	shRNA	C1A	C1
