sampleID	epigenetic_status	Tumour_id
s1	CIMP+	21
s2	CIMP-	22
s3	CIMP-	23
s4	CIMP-	18
s5	CIMP-	17
s6	CIMP-	19
s7	CIMP-	1
s8	CIMP+	2
s9	CIMP-	5
s10	CIMP-	4
s11	CIMP-	6
s12	CIMP+	3
s13	CIMP-	7
s14	CIMP-	10
s15	CIMP-	11
s16	CIMP+	8
s17	CIMP+	28
s18	CIMP+	12
s19	CIMP+	9
s20	CIMP+	13
s21	CIMP+	29
s22	CIMP-	31
s23	CIMP-	30
s24	CIMP+	16
s25	CIMP-	32
s26	CIMP+	33
s27	CIMP+	37
s28	CIMP+	35
s29	CIMP+	34
s30	CIMP+	36
s31	CIMP-	41
s32	CIMP+	42
s33	CIMP+	43
s34	CIMP+	27
s35	CIMP-	44
s36	CIMP+	40
s37	CIMP+	45
s38	CIMP+	47
s39	CIMP-	49
s40	CIMP+	48
s41	CIMP+	50
s42	CIMP-	51
s43	CIMP-	46
s44	CIMP+	53
s45	CIMP+	52
s46	CIMP+	56
s47	CIMP+	39
s48	CIMP-	58
s49	CIMP+	24
s50	CIMP+	57
s51	CIMP+	15
s52	CIMP+	60
s53	CIMP+	61
s54	CIMP+	63
s55	CIMP+	59
s56	CIMP-	26
s57	CIMP-	65
s58	CIMP+	64
s59	CIMP+	14
s60	CIMP+	66
s61	CIMP+	68
s62	CIMP+	67
s63	CIMP+	69
s64	CIMP-	54
s65	CIMP-	70
s66	CIMP-	71
s67	CIMP-	72
s68	CIMP-	73
s69	CIMP-	62
s70	CIMP+	38
s71	CIMP-	75
s72	CIMP+	55
s73	CIMP+	74
s74	CIMP+	76
s75	CIMP-	79
s76	CIMP+	78
s77	CIMP+	25
s78	CIMP-	80
s79	CIMP+	77
s80	CIMP+	81
s81	CIMP+	20
