id	namefile	status
E2F1	E2F1_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
E2F1	E2F1_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
E2F1	E2F1_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
E2F4	E2F4_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
E2F4	E2F4_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
E2F4	E2F4_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
EOMES	EOMES_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
EOMES	EOMES_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
EZH2	EZH2_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
EZH2	EZH2_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
FOXA1	FOXA1_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
FOXA1	FOXA1_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
FOXA1	FOXA1_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
MYCN	MYCN_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
MYCN	MYCN_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
MYC	MYC_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
MYC	MYC_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
MYC	MYC_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
RUNX3	RUNX3_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
RUNX3	RUNX3_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
SPIB	SPIB_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
SPIB	SPIB_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
SUZ12	SUZ12_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
SUZ12	SUZ12_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
SUZ12	SUZ12_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
TFAP2A	TFAP2A_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
TFAP2A	TFAP2A_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
TFAP2A	TFAP2A_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
TP53	TP53_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
TP53	TP53_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
TP53	TP53_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
KDM4A	KDM4A_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
KDM4A	KDM4A_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
DMRT1	DMRT1_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
DMRT1	DMRT1_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
GATA1	GATA1_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
GATA1	GATA1_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
GATA1	GATA1_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
GATA2	GATA2_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
GATA2	GATA2_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
GATA2	GATA2_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
GATA3	GATA3_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
GATA3	GATA3_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
GATA3	GATA3_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
GATA4	GATA4_regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
GATA4	GATA4_regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
GATA4	GATA4_regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
DMR	regions_dmrs_adi_pval0.05_lfc1.center.DOWN.withmiss.gz	hypo
DMR	regions_dmrs_adi_pval0.05_lfc1.center.UP.withmiss.gz	hyper
DMR	regions_dmrs_adi_pval0.05_lfc1.matrix.center.gz	hyper_hypo
