"GeneID"	"Cluster"
"1"	"GALNT18"	"cluster2"
"2"	"GRM8"	"cluster2"
"3"	"HCN4"	"cluster2"
"4"	"ESRRG"	"cluster2"
"5"	"SHISA9"	"cluster2"
"6"	"CCSER1"	"cluster2"
"7"	"KCNH1"	"cluster2"
"8"	"NYAP2"	"cluster2"
"9"	"RIMS4"	"cluster2"
"10"	"RPH3A"	"cluster2"
"11"	"STMN2"	"cluster2"
"12"	"PTPRN"	"cluster2"
"13"	"CDK5R2"	"cluster2"
"14"	"L1CAM"	"cluster2"
"15"	"SYT4"	"cluster2"
"16"	"GRIP2"	"cluster2"
"17"	"PCSK2"	"cluster2"
"18"	"KCNH6"	"cluster2"
"19"	"ZFR2"	"cluster2"
"20"	"ASPHD1"	"cluster2"
"21"	"SEZ6L2"	"cluster2"
"22"	"BEX2"	"cluster2"
"23"	"TCEAL7"	"cluster2"
"24"	"GLRA2"	"cluster2"
"25"	"RIT2"	"cluster2"
"26"	"KCNF1"	"cluster2"
"27"	"SCG5"	"cluster2"
"28"	"VGF"	"cluster2"
"29"	"PCSK1"	"cluster2"
"30"	"SCG2"	"cluster2"
"31"	"MCHR1"	"cluster2"
"32"	"THY1"	"cluster2"
"33"	"GPR176"	"cluster2"
"34"	"PDE4D"	"cluster2"
"35"	"CHL1"	"cluster2"
"36"	"LIN7A"	"cluster2"
"37"	"TRPM3"	"cluster2"
"38"	"SORCS2"	"cluster2"
"39"	"GPC5"	"cluster2"
"40"	"SLC7A10"	"cluster2"
"41"	"MYBPC1"	"cluster2"
"42"	"AIFM3"	"cluster2"
"43"	"PYGM"	"cluster2"
"44"	"TMEM150C"	"cluster2"
"45"	"NWD1"	"cluster2"
"46"	"LGI1"	"cluster2"
"47"	"SLC39A12"	"cluster2"
"48"	"FAM205C"	"cluster2"
"49"	"PAH"	"cluster2"
"50"	"CACNA1S"	"cluster2"
"51"	"CYP11A1"	"cluster2"
"52"	"HSD11B1"	"cluster2"
"53"	"TPD52L1"	"cluster2"
"54"	"CD164L2"	"cluster2"
"55"	"NEK10"	"cluster2"
"56"	"KLHDC9"	"cluster2"
"57"	"VILL"	"cluster2"
"58"	"CCDC158"	"cluster2"
"59"	"HSBP1L1"	"cluster2"
"60"	"ERICH5"	"cluster2"
"61"	"HTR2C"	"cluster2"
"62"	"SYT10"	"cluster2"
"63"	"KL"	"cluster2"
"64"	"GRP"	"cluster2"
"65"	"SPAG6"	"cluster2"
"66"	"OBSCN"	"cluster2"
"67"	"PTPN20"	"cluster2"
"68"	"SCN5A"	"cluster2"
"69"	"SLIT3"	"cluster2"
"70"	"AP1M2"	"cluster2"
"71"	"ASB18"	"cluster2"
"72"	"PRR35"	"cluster2"
"73"	"TGM6"	"cluster2"
"74"	"MOS"	"cluster2"
"75"	"CPLX3"	"cluster2"
"76"	"RXFP2"	"cluster2"
"77"	"HCRTR2"	"cluster2"
"78"	"TNIP3"	"cluster2"
"79"	"NPFFR1"	"cluster2"
"80"	"RTL4"	"cluster2"
"81"	"CORT"	"cluster2"
"82"	"CRHBP"	"cluster2"
"83"	"NPY"	"cluster2"
"84"	"SST"	"cluster2"
"85"	"RCAN2"	"cluster2"
"86"	"CAMK2N1"	"cluster2"
"87"	"SCN1B"	"cluster2"
"88"	"SPINT2"	"cluster2"
"89"	"HENMT1"	"cluster2"
"90"	"TSPYL5"	"cluster2"
"91"	"RASGEF1A"	"cluster2"
"92"	"ATP1B1"	"cluster2"
"93"	"DNAJA4"	"cluster2"
"94"	"GJB6"	"cluster2"
"95"	"GABRA2"	"cluster2"
"96"	"JAKMIP1"	"cluster2"
"97"	"KCNJ3"	"cluster2"
"98"	"SERPINI1"	"cluster2"
"99"	"GRM3"	"cluster2"
"100"	"TRPV6"	"cluster2"
"101"	"RASGRF2"	"cluster2"
"102"	"AK5"	"cluster2"
"103"	"NECAB1"	"cluster2"
"104"	"MAST3"	"cluster2"
"105"	"KCNK1"	"cluster2"
"106"	"RASAL1"	"cluster2"
"107"	"SNCA"	"cluster2"
"108"	"CPNE6"	"cluster2"
"109"	"HPCAL4"	"cluster2"
"110"	"SOWAHA"	"cluster2"
"111"	"MATK"	"cluster2"
"112"	"CAMK2A"	"cluster2"
"113"	"DDN"	"cluster2"
"114"	"PHYHIP"	"cluster2"
"115"	"TMEM130"	"cluster2"
"116"	"PPP2R2C"	"cluster2"
"117"	"SMIM10L2B"	"cluster2"
"118"	"MFSD4A"	"cluster2"
"119"	"NAPB"	"cluster2"
"120"	"KRT222"	"cluster2"
"121"	"SLC12A5"	"cluster2"
"122"	"IL34"	"cluster2"
"123"	"TCEAL6"	"cluster2"
"124"	"CA11"	"cluster2"
"125"	"TUBA4A"	"cluster2"
"126"	"TAC3"	"cluster2"
"127"	"BHLHE22"	"cluster2"
"128"	"CCDC177"	"cluster2"
"129"	"SPINK9"	"cluster2"
"130"	"FNDC5"	"cluster2"
"131"	"NDRG4"	"cluster2"
"132"	"SLC1A2"	"cluster2"
"133"	"BRINP1"	"cluster2"
"134"	"GOLGA7B"	"cluster2"
"135"	"CHST1"	"cluster2"
"136"	"SEMA4A"	"cluster2"
"137"	"ANKRD29"	"cluster2"
"138"	"SYT12"	"cluster2"
"139"	"KCNA1"	"cluster2"
"140"	"KCNMA1"	"cluster2"
"141"	"SGPP2"	"cluster2"
"142"	"LARGE1"	"cluster2"
"143"	"HIVEP2"	"cluster2"
"144"	"PCDHAC2"	"cluster2"
"145"	"CAMK1D"	"cluster2"
"146"	"CDYL2"	"cluster2"
"147"	"LMTK2"	"cluster2"
"148"	"LONRF2"	"cluster2"
"149"	"KALRN"	"cluster2"
"150"	"PI4KA"	"cluster2"
"151"	"FAM126B"	"cluster2"
"152"	"NBEA"	"cluster2"
"153"	"ATP6V1A"	"cluster2"
"154"	"MAPK9"	"cluster2"
"155"	"ATP6V1C1"	"cluster2"
"156"	"AAK1"	"cluster2"
"157"	"PSD3"	"cluster2"
"158"	"WDR7"	"cluster2"
"159"	"PREPL"	"cluster2"
"160"	"SYNJ1"	"cluster2"
"161"	"GPR21"	"cluster2"
"162"	"GRM1"	"cluster2"
"163"	"CCDC85A"	"cluster2"
"164"	"KCNQ5"	"cluster2"
"165"	"KLHL34"	"cluster2"
"166"	"ATP2B2"	"cluster2"
"167"	"THRB"	"cluster2"
"168"	"CNKSR2"	"cluster2"
"169"	"CDKL5"	"cluster2"
"170"	"STXBP5"	"cluster2"
"171"	"CACNB2"	"cluster2"
"172"	"ERC2"	"cluster2"
"173"	"NOS1AP"	"cluster2"
"174"	"NEGR1"	"cluster2"
"175"	"SGIP1"	"cluster2"
"176"	"SMIM17"	"cluster2"
"177"	"ADCY1"	"cluster2"
"178"	"KCNA2"	"cluster2"
"179"	"CALM3"	"cluster2"
"180"	"PNMA8A"	"cluster2"
"181"	"DIRAS2"	"cluster2"
"182"	"KIF5A"	"cluster2"
"183"	"RAPGEF4"	"cluster2"
"184"	"ANKRD33B"	"cluster2"
"185"	"STXBP5L"	"cluster2"
"186"	"CACNB4"	"cluster2"
"187"	"SYT16"	"cluster2"
"188"	"CACNA1E"	"cluster2"
"189"	"PHACTR1"	"cluster2"
"190"	"GPR61"	"cluster2"
"191"	"FAM81A"	"cluster2"
"192"	"HTR2A"	"cluster2"
"193"	"CACNA2D3"	"cluster2"
"194"	"KCNA4"	"cluster2"
"195"	"ACVR1C"	"cluster2"
"196"	"CDH9"	"cluster2"
"197"	"SLC17A6"	"cluster2"
"198"	"GABRA4"	"cluster2"
"199"	"RGS7"	"cluster2"
"200"	"SLC4A10"	"cluster2"
"201"	"NEURL1"	"cluster2"
"202"	"SYT13"	"cluster2"
"203"	"KCNC2"	"cluster2"
"204"	"CELF4"	"cluster2"
"205"	"MYT1L"	"cluster2"
"206"	"GFOD1"	"cluster2"
"207"	"ARHGAP44"	"cluster2"
"208"	"ATP8A2"	"cluster2"
"209"	"CNNM1"	"cluster2"
"210"	"ATP2B3"	"cluster2"
"211"	"SLC7A4"	"cluster2"
"212"	"PRMT8"	"cluster2"
"213"	"ABLIM2"	"cluster2"
"214"	"CPNE9"	"cluster2"
"215"	"GLS2"	"cluster2"
"216"	"SPTB"	"cluster2"
"217"	"AKAP5"	"cluster2"
"218"	"GRM2"	"cluster2"
"219"	"CACNA1I"	"cluster2"
"220"	"KCNT1"	"cluster2"
"221"	"WSCD2"	"cluster2"
"222"	"IQSEC3"	"cluster2"
"223"	"GABRG2"	"cluster2"
"224"	"SVOP"	"cluster2"
"225"	"BICDL1"	"cluster2"
"226"	"PGBD5"	"cluster2"
"227"	"CNTN4"	"cluster2"
"228"	"HTR6"	"cluster2"
"229"	"TMEM132D"	"cluster2"
"230"	"GRM5"	"cluster2"
"231"	"OPCML"	"cluster2"
"232"	"RALYL"	"cluster2"
"233"	"B4GALT6"	"cluster2"
"234"	"MACROD2"	"cluster2"
"235"	"DCAF12L2"	"cluster2"
"236"	"HMGCLL1"	"cluster2"
"237"	"MC4R"	"cluster2"
"238"	"SLITRK4"	"cluster2"
"239"	"DOC2B"	"cluster2"
"240"	"LRFN5"	"cluster2"
"241"	"CD200"	"cluster2"
"242"	"CACNA2D1"	"cluster2"
"243"	"HECW2"	"cluster2"
"244"	"PAK5"	"cluster2"
"245"	"CNTNAP2"	"cluster2"
"246"	"DOK6"	"cluster2"
"247"	"HECW1"	"cluster2"
"248"	"RGS7BP"	"cluster2"
"249"	"SCN8A"	"cluster2"
"250"	"RIMS1"	"cluster2"
"251"	"RAB3C"	"cluster2"
"252"	"SCN2A"	"cluster2"
"253"	"APBA1"	"cluster2"
"254"	"DOCK3"	"cluster2"
"255"	"PPFIA2"	"cluster2"
"256"	"MCF2"	"cluster2"
"257"	"KCNAB1"	"cluster2"
"258"	"ATRNL1"	"cluster2"
"259"	"CDH18"	"cluster2"
"260"	"HTR1A"	"cluster2"
"261"	"VSTM2A"	"cluster2"
"262"	"GLRB"	"cluster2"
"263"	"PTPRN2"	"cluster2"
"264"	"CAMK4"	"cluster2"
"265"	"KCNC1"	"cluster2"
"266"	"KCNK12"	"cluster2"
"267"	"CRHR1"	"cluster2"
"268"	"RTN4R"	"cluster2"
"269"	"SPRN"	"cluster2"
"270"	"TMEM271"	"cluster2"
"271"	"PDE2A"	"cluster2"
"272"	"UNC5A"	"cluster2"
"273"	"CPLX1"	"cluster2"
"274"	"CKMT1A"	"cluster2"
"275"	"CKMT1B"	"cluster2"
"276"	"HRH3"	"cluster2"
"277"	"PSD"	"cluster2"
"278"	"EPHA10"	"cluster2"
"279"	"SCN3B"	"cluster2"
"280"	"TMEM151B"	"cluster2"
"281"	"FRRS1L"	"cluster2"
"282"	"SGSM1"	"cluster2"
"283"	"CDH22"	"cluster2"
"284"	"CLVS2"	"cluster2"
"285"	"SLC6A12"	"cluster2"
"286"	"ANO4"	"cluster2"
"287"	"RAB11FIP4"	"cluster2"
"288"	"TPPP"	"cluster2"
"289"	"DNAJC6"	"cluster2"
"290"	"KIF5C"	"cluster2"
"291"	"ANK3"	"cluster2"
"292"	"ANKS1B"	"cluster2"
"293"	"PPP1R16B"	"cluster2"
"294"	"SLC24A2"	"cluster2"
"295"	"DLG2"	"cluster2"
"296"	"PPM1H"	"cluster2"
"297"	"FAM174B"	"cluster2"
"298"	"RHOBTB2"	"cluster2"
"299"	"PPP1R13B"	"cluster2"
"300"	"ADARB1"	"cluster2"
"301"	"CEP170B"	"cluster2"
"302"	"TTC7B"	"cluster2"
"303"	"HID1"	"cluster2"
"304"	"ADRA2C"	"cluster2"
"305"	"FBXO2"	"cluster2"
"306"	"PANX2"	"cluster2"
"307"	"CYP46A1"	"cluster2"
"308"	"KNDC1"	"cluster2"
"309"	"LYNX1"	"cluster2"
"310"	"FEZF2"	"cluster2"
"311"	"PNMA3"	"cluster2"
"312"	"SMIM10L2A"	"cluster2"
"313"	"ARRB1"	"cluster2"
"314"	"RAB6B"	"cluster2"
"315"	"STUM"	"cluster2"
"316"	"SLC45A1"	"cluster2"
"317"	"CEND1"	"cluster2"
"318"	"RAB26"	"cluster2"
"319"	"EXTL1"	"cluster2"
"320"	"INPP5J"	"cluster2"
"321"	"PRRT3"	"cluster2"
"322"	"EPB41L1"	"cluster2"
"323"	"SNPH"	"cluster2"
"324"	"CLRN2"	"cluster2"
"325"	"NECAB2"	"cluster2"
"326"	"PNCK"	"cluster2"
"327"	"ATOH7"	"cluster2"
"328"	"LRTM2"	"cluster2"
"329"	"FAM163B"	"cluster2"
"330"	"SHANK1"	"cluster2"
"331"	"RAB3A"	"cluster2"
"332"	"SLC8A2"	"cluster2"
"333"	"CAMKV"	"cluster2"
"334"	"CABP1"	"cluster2"
"335"	"CARMIL2"	"cluster2"
"336"	"SNAP25"	"cluster2"
"337"	"SNCB"	"cluster2"
"338"	"CHRM1"	"cluster2"
"339"	"GRIN1"	"cluster2"
"340"	"CPLX2"	"cluster2"
"341"	"SYN1"	"cluster2"
"342"	"GABRD"	"cluster2"
"343"	"PRKCZ"	"cluster2"
"344"	"ARHGDIG"	"cluster2"
"345"	"FBXL16"	"cluster2"
"346"	"STX1B"	"cluster2"
"347"	"SYP"	"cluster2"
"348"	"OLFM1"	"cluster2"
"349"	"STK32C"	"cluster2"
"350"	"C2CD4C"	"cluster2"
"351"	"GAD1"	"cluster2"
"352"	"AGAP2"	"cluster2"
"353"	"RAP1GAP"	"cluster2"
"354"	"DLG3"	"cluster2"
"355"	"SHANK3"	"cluster2"
"356"	"NPTXR"	"cluster2"
"357"	"CACNG8"	"cluster2"
"358"	"DLG4"	"cluster2"
"359"	"FBXO41"	"cluster2"
"360"	"GARNL3"	"cluster2"
"361"	"RASGRF1"	"cluster2"
"362"	"AJAP1"	"cluster2"
"363"	"GALNT9"	"cluster2"
"364"	"PDE4A"	"cluster2"
"365"	"LZTS3"	"cluster2"
"366"	"CAMTA2"	"cluster2"
"367"	"KLC2"	"cluster2"
"368"	"SPTBN4"	"cluster2"
"369"	"PPFIA3"	"cluster2"
"370"	"SYT3"	"cluster2"
"371"	"MAGEE1"	"cluster2"
"372"	"NAP1L2"	"cluster2"
"373"	"SCN2B"	"cluster2"
"374"	"HSPA12A"	"cluster2"
"375"	"SYNGR1"	"cluster2"
"376"	"KIAA0513"	"cluster2"
"377"	"BSN"	"cluster2"
"378"	"STXBP1"	"cluster2"
"379"	"PRKCE"	"cluster2"
"380"	"CPEB3"	"cluster2"
