seqnames	start	end	width	strand	cpgIsland	IwtAP2R4a	IwtAP6c	IWTAPB	IAP89	IAP89B	IAPA	log2FoldChange	pvalue	padj	DynamicallyDetected	status	pval2	annot.symbol	annot.type
chr7	17022406	17022646	241	*	chr7_17022406_17022646	0	0	0	29.94387965332	38.1639078037223	32.8227686495751	7.0503180313468	7.50276681619109e-07	0.0044956578762617		DMRs-up	6.12477855108618	Ppp5c	mm10_genes_exons
chr7	17022406	17022646	241	*	chr7_17022406_17022646	0	0	0	29.94387965332	38.1639078037223	32.8227686495751	7.0503180313468	7.50276681619109e-07	0.0044956578762617		DMRs-up	6.12477855108618	Ppp5c	mm10_genes_introns
chr7	17022406	17022646	241	*	chr7_17022406_17022646	0	0	0	29.94387965332	38.1639078037223	32.8227686495751	7.0503180313468	7.50276681619109e-07	0.0044956578762617		DMRs-up	6.12477855108618	Ppp5c	mm10_genes_intronexonboundaries
chr2	28393740	28394189	450	*	chr2_28393740_28394189	0	0	0	22.1806515950518	45.0138399736211	23.2284208904685	6.89375934135252	4.65397546720649e-06	0.00557732419990026		DMRs-up	5.33217591036706	NA	mm10_genes_intergenic
chr4	136755556	136755848	293	*	chr4_136755556_136755848	0	0	0	27.7258144938148	23.974762594646	28.2780776057878	6.71174406061391	3.84206573435002e-06	0.00557732419990026	Yes	DMRs-up	5.4154352090159	Ephb2	mm10_genes_introns
chr4	139965565	139965837	273	*	chr4_139965565_139965837	0	0	0	43.2522706103511	20.5497965096966	25.7532492481281	6.86869946025666	4.4776428824427e-06	0.00557732419990026	Yes	DMRs-up	5.34895054683765	Klhdc7a	mm10_genes_exons
chr17	87640236	87640518	283	*	chr17_87640236_87640518	0	1.14902377191648	0	45.4703357698563	36.2067843266083	46.456841780937	6.42949470076868	2.68284649030813e-06	0.00557732419990026	Yes	DMRs-up	5.57140417649668	Epcam	mm10_genes_exons
chr17	87640236	87640518	283	*	chr17_87640236_87640518	0	1.14902377191648	0	45.4703357698563	36.2067843266083	46.456841780937	6.42949470076868	2.68284649030813e-06	0.00557732419990026	Yes	DMRs-up	5.57140417649668	Epcam	mm10_genes_intronexonboundaries
chr18	25678896	25679516	621	*	chr18_25678896_25679516	0	0	0	23.2896841748044	23.4854817253676	24.7433179050643	6.55178313927083	8.05556833011959e-06	0.00689556649058237	Yes	DMRs-up	5.09390381416124	Celf4	mm10_genes_exons
chr18	25678896	25679516	621	*	chr18_25678896_25679516	0	0	0	23.2896841748044	23.4854817253676	24.7433179050643	6.55178313927083	8.05556833011959e-06	0.00689556649058237	Yes	DMRs-up	5.09390381416124	Celf4	mm10_genes_introns
chr18	25678896	25679516	621	*	chr18_25678896_25679516	0	0	0	23.2896841748044	23.4854817253676	24.7433179050643	6.55178313927083	8.05556833011959e-06	0.00689556649058237	Yes	DMRs-up	5.09390381416124	Celf4	mm10_genes_intronexonboundaries
chr18	43477589	43477838	250	*	chr18_43477589_43477838	0	0	0	27.7258144938148	22.0176391175321	24.2383522335324	6.59754329185653	6.90855727099956e-06	0.00689556649058237	Yes	DMRs-up	5.16061263781583	NA	mm10_genes_exons
chr18	43477589	43477838	250	*	chr18_43477589_43477838	0	0	0	27.7258144938148	22.0176391175321	24.2383522335324	6.59754329185653	6.90855727099956e-06	0.00689556649058237	Yes	DMRs-up	5.16061263781583	NA	mm10_genes_intronexonboundaries
chr8	69888981	69889537	557	*	chr8_69888981_69889537	0	0	0	27.7258144938148	22.9962008560891	18.6837298466812	6.50402365130146	1.25876172121145e-05	0.00838055581499888	Yes	DMRs-up	4.90005647239959	Yjefn3	mm10_genes_promoters
chr8	69888981	69889537	557	*	chr8_69888981_69889537	0	0	0	27.7258144938148	22.9962008560891	18.6837298466812	6.50402365130146	1.25876172121145e-05	0.00838055581499888	Yes	DMRs-up	4.90005647239959	Cilp2	mm10_genes_1to5kb
chr8	69888981	69889537	557	*	chr8_69888981_69889537	0	0	0	27.7258144938148	22.9962008560891	18.6837298466812	6.50402365130146	1.25876172121145e-05	0.00838055581499888	Yes	DMRs-up	4.90005647239959	Yjefn3	mm10_genes_1to5kb
chr8	69888981	69889537	557	*	chr8_69888981_69889537	0	0	0	27.7258144938148	22.9962008560891	18.6837298466812	6.50402365130146	1.25876172121145e-05	0.00838055581499888	Yes	DMRs-up	4.90005647239959	Yjefn3	mm10_genes_exons
chr8	69888981	69889537	557	*	chr8_69888981_69889537	0	0	0	27.7258144938148	22.9962008560891	18.6837298466812	6.50402365130146	1.25876172121145e-05	0.00838055581499888	Yes	DMRs-up	4.90005647239959	Yjefn3	mm10_genes_intronexonboundaries
chr16	18398096	18398312	217	*	chr16_18398096_18398312	0	0	0	14.4174235367837	27.3997286795955	45.4469104378732	6.8447854559359	1.17645961751112e-05	0.00838055581499888		DMRs-up	4.9294229755794	Arvcf	mm10_genes_promoters
chr16	18398096	18398312	217	*	chr16_18398096_18398312	0	0	0	14.4174235367837	27.3997286795955	45.4469104378732	6.8447854559359	1.17645961751112e-05	0.00838055581499888		DMRs-up	4.9294229755794	Arvcf	mm10_genes_1to5kb
chr16	18398096	18398312	217	*	chr16_18398096_18398312	0	0	0	14.4174235367837	27.3997286795955	45.4469104378732	6.8447854559359	1.17645961751112e-05	0.00838055581499888		DMRs-up	4.9294229755794	Arvcf	mm10_genes_exons
chr16	18398096	18398312	217	*	chr16_18398096_18398312	0	0	0	14.4174235367837	27.3997286795955	45.4469104378732	6.8447854559359	1.17645961751112e-05	0.00838055581499888		DMRs-up	4.9294229755794	Arvcf	mm10_genes_intronexonboundaries
chr3	137918408	137918684	277	*	chr3_137918408_137918684	15.1165383024383	17.2353565787471	12.3065556200202	0	0	0	-6.96221993548692	1.47572925296934e-05	0.00884256968379226		DMRs-down	4.83099331373731	Lamtor3	mm10_genes_promoters
chr3	137918408	137918684	277	*	chr3_137918408_137918684	15.1165383024383	17.2353565787471	12.3065556200202	0	0	0	-6.96221993548692	1.47572925296934e-05	0.00884256968379226		DMRs-down	4.83099331373731	NA	mm10_genes_promoters
chr3	137918408	137918684	277	*	chr3_137918408_137918684	15.1165383024383	17.2353565787471	12.3065556200202	0	0	0	-6.96221993548692	1.47572925296934e-05	0.00884256968379226		DMRs-down	4.83099331373731	NA	mm10_genes_exons
chr3	137918408	137918684	277	*	chr3_137918408_137918684	15.1165383024383	17.2353565787471	12.3065556200202	0	0	0	-6.96221993548692	1.47572925296934e-05	0.00884256968379226		DMRs-down	4.83099331373731	NA	mm10_genes_intronexonboundaries
chr4	128767041	128767520	480	*	chr4_128767041_128767520	0	1.14902377191648	0	26.6167819140622	33.7603799802159	32.8227686495751	5.97472319838301	1.88754878115836e-05	0.0102819929970008	Yes	DMRs-up	4.72410181579724	A3galt2	mm10_genes_exons
chr3	55780206	55780681	476	*	chr3_55780206_55780681	0	1.14902377191648	0	25.5077493343096	33.2710991109374	30.8029059634474	5.91772168707001	2.41625828434315e-05	0.0119000315609361	Yes	DMRs-up	4.61685664394597	Mab21l1	mm10_genes_1to5kb
chr3	55780206	55780681	476	*	chr3_55780206_55780681	0	1.14902377191648	0	25.5077493343096	33.2710991109374	30.8029059634474	5.91772168707001	2.41625828434315e-05	0.0119000315609361	Yes	DMRs-up	4.61685664394597	Nbea	mm10_genes_exons
chr3	55780206	55780681	476	*	chr3_55780206_55780681	0	1.14902377191648	0	25.5077493343096	33.2710991109374	30.8029059634474	5.91772168707001	2.41625828434315e-05	0.0119000315609361	Yes	DMRs-up	4.61685664394597	NA	mm10_genes_exons
chr3	55780206	55780681	476	*	chr3_55780206_55780681	0	1.14902377191648	0	25.5077493343096	33.2710991109374	30.8029059634474	5.91772168707001	2.41625828434315e-05	0.0119000315609361	Yes	DMRs-up	4.61685664394597	Nbea	mm10_genes_introns
